id,nodecolor
1,1
2,1
3,1
4,1
5,3
6,3
7,1
8,1
9,2
10,3
11,1
12,1
13,3
14,3
15,1
16,3
17,1
18,1
19,1
20,3
21,3
22,3
23,1
24,1
25,1
26,1
27,1
28,3
29,1
30,1
31,3
32,3
33,1
34,1
35,3
36,3
37,1
38,3
39,1
40,1
41,1
42,1
43,1
44,3
45,1
46,1
47,1
48,3
49,3
50,1
51,2
52,1
53,2
54,1
55,3
56,3
57,3
58,1
59,3
60,3
61,3
62,1
63,1
64,1
65,1
66,1
67,3
68,1
69,1
70,3
71,3
72,3
73,3
74,1
75,1
76,1
77,1
78,1
79,1
80,3
81,1
82,1
83,3
84,3
85,1
86,3
87,1
88,3
89,1
90,1
91,1
92,1
93,1
94,3
95,1
96,1
97,1
98,1
99,3
100,1
101,1
102,1
103,1
104,1
105,3
106,1
107,3
108,1
109,3
110,1
111,2
112,1
113,3
114,1
115,1
116,1
117,3
118,1
119,1
120,1
121,1
122,3
123,1
124,1
125,3
126,1
127,3
128,1
129,3
130,3
131,1
132,3
133,1
134,3
135,1
136,3
137,1
138,1
139,1
140,1
141,2
142,3
143,3
144,1
145,1
146,1
147,1
148,1
149,1
150,3
151,1
152,3
153,1
154,3
155,3
156,1
157,1
158,1
159,3
160,3
161,1
162,1
163,1
164,2
165,2
166,2
167,1
168,3
169,3
170,1
171,1
172,3
173,3
174,3
175,3
176,3
177,1
178,3
179,1
180,1
181,1
182,3
183,3
184,1
185,1
186,1
187,1
188,3
189,1
190,1
191,1
192,3
193,3
194,1
195,3
196,3
197,1
198,3
199,1
200,3
201,3
202,3
203,1
204,3
205,1
206,1
207,1
208,1
209,3
210,1
211,3
212,1
213,1
214,1
215,3
216,1
217,3
218,1
219,1
220,1
221,1
222,3
223,3
224,3
225,3
226,1
227,3
228,1
229,3
230,3
231,3
232,3
233,3
234,1
235,1
236,1
237,3
238,3
239,3
240,1
241,1
242,1
243,1
244,3
245,3
246,1
247,1
248,1
249,3
250,3
251,1
252,3
253,1
254,1
255,1
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,1
265,1
266,3
267,3
268,1
269,1
270,1
271,1
272,1
273,3
274,3
275,3
276,4
277,2
278,1
279,1
280,4
281,3
282,1
283,3
284,3
285,3
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,2
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,3
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,3
313,1
314,1
315,1
316,1
317,1
318,3
319,3
320,3
321,1
322,1
323,1
324,1
325,3
326,1
327,3
328,1
329,3
330,3
331,3
332,1
333,1
334,1
335,1
336,1
337,1
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,1
347,1
348,1
349,1
350,1
351,3
352,1
353,1
354,1
355,1
356,1
357,3
358,1
359,1
360,1
361,4
362,4
363,1
364,3
365,1
366,3
367,3
368,1
369,1
370,2
371,3
372,3
373,3
374,1
375,3
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,1
387,1
388,3
389,3
390,3
391,3
392,3
393,1
394,1
395,1
396,1
397,1
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,1
408,4
409,2
410,3
411,3
412,3
413,1
414,1
415,1
416,3
417,1
418,1
419,1
420,3
421,3
422,1
423,1
424,1
425,1
426,3
427,3
428,3
429,3
430,3
431,3
432,1
433,3
434,3
435,3
436,1
437,1
438,1
439,3
440,3
441,3
442,1
443,1
444,3
445,3
446,1
447,3
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,3
467,3
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,2
476,3
477,2
478,2
479,3
480,1
481,1
482,1
483,1
484,1
485,3
486,1
487,1
488,1
489,1
490,3
491,3
492,1
493,1
494,3
495,3
496,2
497,1
498,1
499,2
500,1
501,1
502,1
503,2
504,2
505,2
506,1
507,1
508,3
509,1
510,1
511,1
512,1
513,1
514,3
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,3
525,1
526,3
527,3
528,1
529,1
530,2
531,3
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,2
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,3
560,3
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,3
569,1
570,1
571,1
572,1
573,1
574,3
575,1
576,1
577,1
578,1
579,1
580,1
581,3
582,3
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,3
594,1
595,3
596,1
597,2
598,1
599,1
600,3
601,3
