id,nodecolor
1,4
2,14
3,4
4,14
5,16
6,14
7,16
8,14
9,16
10,14
11,14
12,16
13,16
14,14
15,4
16,16
17,14
18,4
19,16
20,4
21,4
22,14
23,14
24,16
25,14
26,14
27,14
28,16
29,4
30,14
31,14
32,14
33,4
34,16
35,13
36,16
37,14
38,16
39,14
40,14
41,14
42,4
43,16
44,16
45,4
46,14
47,16
48,16
49,14
50,16
51,14
52,16
53,16
54,14
55,16
56,14
57,14
58,14
59,13
60,14
61,14
62,16
63,14
64,16
65,16
66,14
67,14
68,14
69,16
70,14
71,16
72,16
73,14
74,14
75,16
76,14
77,16
78,16
79,16
80,14
81,14
82,16
83,14
84,16
85,14
86,14
87,16
88,14
89,14
90,16
91,16
92,16
93,14
94,4
95,14
96,16
97,14
98,16
99,14
100,16
101,16
102,14
103,16
104,14
105,14
106,14
107,14
108,10
109,14
110,14
111,16
112,4
113,16
114,14
115,16
116,4
117,4
118,16
119,14
120,14
121,16
122,14
123,14
124,14
125,16
126,16
127,16
128,14
129,14
130,16
131,14
132,16
133,14
134,14
135,14
136,14
137,9
138,4
139,16
140,14
141,4
142,14
143,14
144,16
145,4
146,16
147,14
148,16
149,14
150,4
151,16
152,4
153,16
154,16
155,16
156,16
157,14
158,16
159,14
160,14
161,16
162,14
163,4
164,16
165,16
166,14
167,16
168,4
169,14
170,14
171,14
172,16
173,14
174,16
175,16
176,16
177,14
178,16
179,14
180,16
181,14
182,16
183,16
184,16
185,14
186,14
187,14
188,14
189,14
190,16
191,16
192,16
193,16
194,16
195,14
196,16
197,14
198,14
199,12
200,14
201,14
202,16
203,16
204,14
205,14
206,16
207,16
208,16
209,16
210,16
211,16
212,14
213,14
214,14
215,4
216,16
217,16
218,16
219,16
220,16
221,16
222,14
223,14
224,14
225,14
226,16
227,4
228,16
229,16
230,16
231,16
232,14
233,14
234,16
235,16
236,16
237,14
238,16
239,14
240,14
241,16
242,16
243,14
244,4
245,16
246,16
247,14
248,16
249,14
250,14
251,16
252,14
253,14
254,16
255,14
256,16
257,16
258,14
259,14
260,16
261,16
262,14
263,16
264,16
265,16
266,14
267,14
268,16
269,14
270,16
271,16
272,14
273,14
274,16
275,14
276,16
277,14
278,14
279,16
280,16
281,14
282,14
283,16
284,16
285,14
286,14
287,16
288,16
289,16
290,16
291,14
292,14
293,16
294,16
295,16
296,14
297,16
298,14
299,14
300,14
301,16
302,16
303,14
304,14
305,14
306,16
307,16
308,16
309,14
310,14
311,4
312,16
313,4
314,14
315,14
316,14
317,16
318,16
319,14
320,16
321,14
322,16
323,14
324,14
325,14
326,14
327,4
328,16
329,16
330,14
331,14
332,14
333,14
334,4
335,14
336,16
337,16
338,4
339,16
340,14
341,16
342,14
343,14
344,4
345,14
346,14
347,14
348,16
349,12
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,13
358,12
359,13
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,12
372,12
373,12
374,12
375,12
376,12
377,12
378,13
379,12
380,13
381,12
382,12
383,12
384,13
385,13
386,12
387,13
388,12
389,12
390,12
391,12
392,12
393,12
394,12
395,12
396,12
397,12
398,12
399,12
400,12
401,12
402,13
403,12
404,12
405,12
406,12
407,12
408,12
409,12
410,12
411,12
412,13
413,12
414,12
415,17
416,12
417,12
418,12
419,12
420,12
421,12
422,12
423,12
424,12
425,12
426,12
427,12
428,12
429,12
430,12
431,12
432,12
433,12
434,12
435,12
436,12
437,12
438,12
439,12
440,12
441,12
442,12
443,12
444,13
445,12
446,12
447,12
448,13
449,13
450,12
451,12
452,12
453,12
454,12
455,13
456,12
457,12
458,12
459,12
460,12
461,12
462,12
463,12
464,12
465,13
466,12
467,12
468,12
469,13
470,12
471,12
472,12
473,12
474,12
475,12
476,12
477,12
478,12
479,12
480,12
481,12
482,12
483,12
484,12
485,12
486,12
487,12
488,12
489,12
490,12
491,12
492,12
493,12
494,12
495,12
496,12
497,12
498,12
499,12
500,13
501,12
502,12
503,12
504,12
505,12
506,12
507,12
508,12
509,12
510,12
511,12
512,12
513,12
514,12
515,12
516,12
517,12
518,12
519,12
520,12
521,12
522,12
523,12
524,12
525,12
526,12
527,12
528,12
529,12
530,12
531,12
532,12
533,12
534,12
535,12
536,12
537,12
538,12
539,12
540,12
541,12
542,12
543,12
544,12
545,12
546,12
547,12
548,12
549,12
550,12
551,13
552,12
553,13
554,12
555,12
556,12
557,12
558,12
559,12
560,12
561,12
562,12
563,12
564,12
565,12
566,12
567,12
568,12
569,12
570,12
571,12
572,13
573,12
574,12
575,12
576,12
577,17
578,17
579,17
580,12
581,12
582,13
583,17
584,17
585,12
586,13
587,12
588,12
589,12
590,12
591,12
592,12
593,12
594,13
595,2
596,17
597,13
598,12
599,12
600,17
601,17
602,12
603,13
604,12
605,12
606,12
607,12
608,13
609,13
610,12
611,13
612,12
613,12
614,13
615,12
616,17
617,12
618,12
619,12
620,12
621,12
622,12
623,12
624,12
625,13
626,12
627,12
