id,nodecolor
1,12
2,9
3,8
4,3
5,8
6,9
7,11
8,11
9,3
10,8
11,4
12,6
13,9
14,6
15,9
16,3
17,5
18,6
19,7
20,5
21,11
22,11
23,3
24,4
25,12
26,6
27,5
28,4
29,7
30,7
31,6
32,9
33,12
34,6
35,7
36,6
37,12
38,6
39,9
40,8
41,3
42,6
43,6
44,1
45,12
46,10
47,9
48,1
49,10
50,4
51,11
52,8
53,10
54,6
55,7
56,5
57,1
58,2
59,2
60,9
61,6
62,5
63,2
64,9
65,5
66,1
67,10
68,11
69,4
70,5
71,6
72,8
73,10
74,8
75,1
76,5
77,11
78,11
79,7
80,7
81,8
82,7
83,10
84,8
85,6
86,1
87,5
88,10
89,12
90,4
91,1
92,1
93,3
94,7
95,5
96,5
97,2
98,8
99,6
100,9
101,7
102,8
103,12
104,3
105,12
106,9
107,8
108,11
109,12
110,10
111,11
112,1
113,5
114,10
115,3
