id,nodecolor
1,3
2,10
3,9
4,7
5,9
6,10
7,5
8,5
9,7
10,9
11,12
12,11
13,10
14,11
15,10
16,7
17,1
18,6
19,8
20,1
21,5
22,5
23,7
24,12
25,3
26,11
27,1
28,12
29,8
30,8
31,6
32,10
33,3
34,6
35,8
36,11
37,3
38,11
39,10
40,9
41,7
42,11
43,11
44,2
45,3
46,4
47,10
48,2
49,4
50,12
51,5
52,9
53,4
54,6
55,8
56,1
57,2
58,10
59,10
60,10
61,6
62,1
63,10
64,10
65,1
66,2
67,4
68,5
69,12
70,1
71,6
72,9
73,4
74,9
75,2
76,1
77,5
78,5
79,8
80,11
81,9
82,8
83,4
84,9
85,11
86,2
87,1
88,4
89,3
90,12
91,2
92,2
93,7
94,8
95,1
96,1
97,10
98,9
99,6
100,10
101,8
102,9
103,3
104,7
105,3
106,10
107,9
108,5
109,3
110,4
111,5
112,2
113,1
114,4
115,7
