source,target,type
1,25,undirected
1,27,undirected
1,33,undirected
1,37,undirected
1,45,undirected
1,57,undirected
1,89,undirected
1,101,undirected
1,103,undirected
1,105,undirected
1,109,undirected
1,115,undirected
2,3,undirected
2,6,undirected
2,13,undirected
2,14,undirected
2,15,undirected
2,47,undirected
2,60,undirected
2,64,undirected
2,72,undirected
2,74,undirected
2,100,undirected
2,106,undirected
3,5,undirected
3,11,undirected
3,26,undirected
3,40,undirected
3,52,undirected
3,58,undirected
3,72,undirected
3,74,undirected
3,81,undirected
3,84,undirected
3,102,undirected
4,5,undirected
4,9,undirected
4,16,undirected
4,23,undirected
4,28,undirected
4,41,undirected
4,69,undirected
4,93,undirected
4,104,undirected
4,108,undirected
4,115,undirected
5,10,undirected
5,11,undirected
5,52,undirected
5,74,undirected
5,81,undirected
5,84,undirected
5,90,undirected
5,97,undirected
5,98,undirected
5,107,undirected
6,7,undirected
6,32,undirected
6,39,undirected
6,47,undirected
6,55,undirected
6,58,undirected
6,60,undirected
6,64,undirected
6,85,undirected
6,100,undirected
6,106,undirected
7,8,undirected
7,21,undirected
7,22,undirected
7,40,undirected
7,68,undirected
7,73,undirected
7,77,undirected
7,78,undirected
7,82,undirected
7,108,undirected
7,111,undirected
8,9,undirected
8,21,undirected
8,22,undirected
8,41,undirected
8,51,undirected
8,68,undirected
8,77,undirected
8,78,undirected
8,90,undirected
8,111,undirected
9,16,undirected
9,22,undirected
9,23,undirected
9,41,undirected
9,64,undirected
9,93,undirected
9,104,undirected
9,108,undirected
9,115,undirected
10,11,undirected
10,60,undirected
10,72,undirected
10,74,undirected
10,81,undirected
10,84,undirected
10,98,undirected
10,102,undirected
10,107,undirected
11,24,undirected
11,28,undirected
11,50,undirected
11,69,undirected
11,90,undirected
11,97,undirected
11,104,undirected
12,13,undirected
12,14,undirected
12,17,undirected
12,18,undirected
12,26,undirected
12,34,undirected
12,36,undirected
12,38,undirected
12,43,undirected
12,85,undirected
13,15,undirected
13,32,undirected
13,39,undirected
13,45,undirected
13,60,undirected
13,64,undirected
13,100,undirected
13,106,undirected
13,110,undirected
14,15,undirected
14,26,undirected
14,38,undirected
14,43,undirected
14,54,undirected
14,71,undirected
14,85,undirected
14,99,undirected
15,32,undirected
15,39,undirected
15,47,undirected
15,60,undirected
15,68,undirected
15,92,undirected
15,100,undirected
15,106,undirected
15,114,undirected
16,17,undirected
16,23,undirected
16,38,undirected
16,41,undirected
16,67,undirected
16,81,undirected
16,93,undirected
16,104,undirected
16,115,undirected
17,20,undirected
17,27,undirected
17,58,undirected
17,62,undirected
17,65,undirected
17,87,undirected
17,95,undirected
17,96,undirected
17,113,undirected
18,19,undirected
18,31,undirected
18,34,undirected
18,36,undirected
18,38,undirected
18,42,undirected
18,54,undirected
18,61,undirected
18,71,undirected
18,99,undirected
19,29,undirected
19,30,undirected
19,33,undirected
19,35,undirected
19,36,undirected
19,44,undirected
19,55,undirected
19,79,undirected
19,94,undirected
19,101,undirected
20,21,undirected
20,36,undirected
20,62,undirected
20,65,undirected
20,70,undirected
20,75,undirected
20,76,undirected
20,87,undirected
20,96,undirected
20,113,undirected
21,22,undirected
21,32,undirected
21,46,undirected
21,51,undirected
21,68,undirected
21,77,undirected
21,108,undirected
21,111,undirected
22,23,undirected
22,47,undirected
22,51,undirected
22,68,undirected
22,77,undirected
22,78,undirected
22,108,undirected
23,41,undirected
23,78,undirected
23,90,undirected
23,93,undirected
23,104,undirected
23,111,undirected
23,115,undirected
24,25,undirected
24,28,undirected
24,50,undirected
24,66,undirected
24,69,undirected
24,84,undirected
24,87,undirected
24,90,undirected
24,110,undirected
25,33,undirected
25,37,undirected
25,45,undirected
25,53,undirected
25,89,undirected
25,103,undirected
25,105,undirected
25,106,undirected
25,109,undirected
26,27,undirected
26,34,undirected
26,38,undirected
26,42,undirected
26,43,undirected
26,61,undirected
26,85,undirected
27,56,undirected
27,62,undirected
27,63,undirected
27,65,undirected
27,70,undirected
27,76,undirected
27,95,undirected
27,96,undirected
28,38,undirected
28,50,undirected
28,69,undirected
28,78,undirected
28,90,undirected
28,113,undirected
29,30,undirected
29,35,undirected
29,42,undirected
29,55,undirected
29,79,undirected
29,80,undirected
29,82,undirected
29,91,undirected
29,94,undirected
29,101,undirected
30,35,undirected
30,44,undirected
30,50,undirected
30,55,undirected
30,79,undirected
30,82,undirected
30,94,undirected
30,101,undirected
30,109,undirected
31,32,undirected
31,34,undirected
31,43,undirected
31,54,undirected
31,55,undirected
31,61,undirected
31,71,undirected
31,79,undirected
31,85,undirected
31,99,undirected
32,39,undirected
32,47,undirected
32,49,undirected
32,64,undirected
32,100,undirected
32,106,undirected
33,37,undirected
33,45,undirected
33,89,undirected
33,103,undirected
33,105,undirected
33,109,undirected
33,115,undirected
34,35,undirected
34,42,undirected
34,54,undirected
34,61,undirected
34,71,undirected
34,94,undirected
34,99,undirected
35,44,undirected
35,55,undirected
35,79,undirected
35,92,undirected
35,94,undirected
35,101,undirected
35,115,undirected
36,37,undirected
36,43,undirected
36,58,undirected
36,59,undirected
37,45,undirected
37,80,undirected
37,89,undirected
37,95,undirected
37,103,undirected
37,105,undirected
