id,nodecolor
1,3
2,1
3,6
4,7
5,6
6,1
7,9
8,9
9,7
10,6
11,6
12,11
13,1
14,11
15,1
16,7
17,4
18,11
19,12
20,4
21,9
22,9
23,7
24,6
25,8
26,11
27,4
28,6
29,12
30,12
31,11
32,1
33,3
34,11
35,12
36,10
37,3
38,11
39,1
40,6
41,7
42,11
43,11
44,2
45,8
46,5
47,1
48,2
49,5
50,6
51,9
52,6
53,5
54,11
55,12
56,4
57,2
58,10
59,10
60,1
61,11
62,4
63,10
64,1
65,4
66,2
67,5
68,9
69,6
70,4
71,11
72,6
73,5
74,6
75,2
76,4
77,9
78,9
79,12
80,12
81,6
82,12
83,5
84,6
85,11
86,2
87,4
88,5
89,8
90,6
91,2
92,2
93,7
94,12
95,4
96,4
97,10
98,6
99,11
100,1
101,12
102,6
103,8
104,7
105,8
106,1
107,6
108,9
109,3
110,5
111,9
112,2
113,4
114,5
115,7
