id,nodecolor
1,3
2,1
3,4
4,6
5,4
6,1
7,5
8,5
9,6
10,4
11,2
12,10
13,1
14,10
15,1
16,6
17,12
18,10
19,11
20,12
21,5
22,5
23,6
24,2
25,3
26,10
27,12
28,2
29,11
30,11
31,10
32,1
33,3
34,10
35,11
36,8
37,3
38,10
39,1
40,4
41,6
42,10
43,10
44,9
45,3
46,7
47,1
48,9
49,7
50,2
51,5
52,4
53,7
54,10
55,11
56,12
57,9
58,8
59,8
60,1
61,10
62,12
63,8
64,1
65,12
66,9
67,7
68,5
69,2
70,12
71,10
72,4
73,7
74,4
75,9
76,12
77,5
78,5
79,11
80,11
81,4
82,11
83,7
84,4
85,10
86,9
87,12
88,7
89,3
90,2
91,9
92,9
93,6
94,11
95,12
96,12
97,8
98,4
99,10
100,1
101,11
102,4
103,3
104,6
105,3
106,1
107,4
108,5
109,3
110,7
111,5
112,9
113,12
114,7
115,6
