id,nodecolor
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,1
9,2
10,1
11,1
12,1
13,1
14,2
15,1
16,1
17,1
18,1
19,2
20,2
21,1
22,2
23,1
24,1
25,2
26,1
27,1
28,1
29,2
30,3
31,3
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,2
50,2
51,2
52,2
53,1
54,1
55,1
56,1
57,2
58,2
59,1
60,1
61,1
62,1
63,1
64,2
65,2
66,1
67,2
68,2
69,2
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,1
82,3
83,3
84,1
85,2
86,1
87,3
88,1
89,1
90,1
91,3
92,3
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,2
104,2
105,2
