source,target,type
1,3,undirected
1,5,undirected
1,6,undirected
1,105,undirected
2,4,undirected
2,5,undirected
2,7,undirected
2,105,undirected
3,5,undirected
3,8,undirected
3,9,undirected
3,10,undirected
3,11,undirected
3,12,undirected
3,13,undirected
3,14,undirected
3,15,undirected
3,16,undirected
3,17,undirected
3,18,undirected
3,19,undirected
3,20,undirected
3,21,undirected
3,22,undirected
3,23,undirected
3,24,undirected
3,25,undirected
3,26,undirected
3,27,undirected
3,105,undirected
4,5,undirected
4,6,undirected
4,28,undirected
4,29,undirected
4,30,undirected
4,31,undirected
4,105,undirected
5,6,undirected
5,7,undirected
5,105,undirected
6,7,undirected
6,10,undirected
6,12,undirected
6,18,undirected
6,22,undirected
6,25,undirected
6,29,undirected
6,105,undirected
7,14,undirected
7,30,undirected
7,58,undirected
7,71,undirected
7,85,undirected
8,9,undirected
8,10,undirected
8,11,undirected
8,12,undirected
8,13,undirected
8,14,undirected
8,20,undirected
8,21,undirected
8,22,undirected
8,23,undirected
8,24,undirected
8,26,undirected
8,27,undirected
8,32,undirected
8,33,undirected
8,35,undirected
8,37,undirected
8,40,undirected
8,41,undirected
8,42,undirected
8,43,undirected
8,44,undirected
8,45,undirected
8,46,undirected
9,11,undirected
9,12,undirected
9,14,undirected
9,20,undirected
9,24,undirected
9,27,undirected
9,41,undirected
9,45,undirected
9,47,undirected
9,48,undirected
9,49,undirected
9,50,undirected
9,51,undirected
9,52,undirected
10,11,undirected
10,12,undirected
10,15,undirected
10,16,undirected
10,19,undirected
10,21,undirected
10,33,undirected
10,35,undirected
10,37,undirected
10,38,undirected
10,39,undirected
10,55,undirected
11,12,undirected
11,13,undirected
11,14,undirected
11,17,undirected
11,20,undirected
11,21,undirected
11,22,undirected
11,26,undirected
11,27,undirected
11,29,undirected
11,45,undirected
11,47,undirected
11,50,undirected
11,56,undirected
12,13,undirected
12,14,undirected
12,15,undirected
12,17,undirected
12,18,undirected
12,23,undirected
12,24,undirected
12,32,undirected
12,33,undirected
12,36,undirected
12,38,undirected
12,39,undirected
12,40,undirected
12,41,undirected
12,44,undirected
12,46,undirected
12,47,undirected
12,54,undirected
12,55,undirected
13,17,undirected
13,29,undirected
13,32,undirected
13,40,undirected
13,42,undirected
13,43,undirected
13,44,undirected
13,47,undirected
13,57,undirected
14,25,undirected
14,26,undirected
14,58,undirected
15,16,undirected
15,55,undirected
17,47,undirected
19,55,undirected
19,56,undirected
19,77,undirected
20,24,undirected
20,40,undirected
20,48,undirected
20,49,undirected
20,53,undirected
20,57,undirected
21,23,undirected
22,25,undirected
22,40,undirected
22,52,undirected
23,27,undirected
23,32,undirected
23,33,undirected
23,47,undirected
23,54,undirected
24,26,undirected
24,40,undirected
24,47,undirected
24,53,undirected
25,40,undirected
26,40,undirected
26,45,undirected
26,47,undirected
26,53,undirected
27,40,undirected
27,41,undirected
27,47,undirected
27,54,undirected
28,66,undirected
28,72,undirected
30,31,undirected
30,58,undirected
30,66,undirected
